함함안함함 팀 최종분석 결과,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
해결과제1 결과물,,,,,,,,해결과제2 결과물,,,,
,,,,,,,,,,,,
위험순위,시설명/주소지,중심점 위치,,반경범위,,,,위험순위,시설명/주소지,시설물 설치 위치,,비고
,,X좌표(위도),Y좌표(경도),,,,,,,X좌표(위도),Y좌표(경도),
1,성호대로 월드타워 일대,37.14880905,127.0748998,100m X 100m 격자,,,,1,오산원일초등학교,37.141594,127.073814,주의표지
2,내삼미로 센터프라자 일대,37.16950843,127.0657727,100m X 100m 격자,,,,1,오산원일초등학교,37.141594,127.073814,단속카메라
3,성호대로 기업은행 일대,37.14881308,127.0760259,100m X 100m 격자,,,,1,오산원일초등학교,37.141586,127.071562,가드레일
4,오산운암5단지주공아파트 상가 일대,37.1461089,127.076041,100m X 100m 격자,,,,1,오산원일초등학교,37.141586,127.071562,지시표지
5,CU 오산누읍점 일대,37.1414936,127.0467913,100m X 100m 격자,,,,1,오산원일초등학교,37.141594,127.073814,규제표지
6,대원로 57 사거리 일대,37.14610486,127.074915,100m X 100m 격자,,,,2,대일유치원,37.133465,127.069356,단속카메라
7,깨닫는 공부 스터디카페 일대,37.1506078,127.0737636,100m X 100m 격자,,,,2,대일유치원,37.133469,127.070482,가드레일
8,청명태권도 일대,37.17486221,127.0510979,100m X 100m 격자,,,,2,대일유치원,37.133465,127.069356,주의표지
9,벨로체피아노 일대,37.1316581,127.0682408,100m X 100m 격자,,,,2,대일유치원,37.132564,127.069361,가드레일
10,이화음악학원 일대,37.19551103,127.0295669,100m X 100m 격자,,,,3,시립남부어린이집,37.139791,127.073824,과속방지턱
11,점프윙스 줄넘기학원 일대,37.13621353,127.0817257,100m X 100m 격자,,,,3,시립남부어린이집,37.136185,127.073845,규제표지
12,서강대학교SLP 오산어학원 일대,37.14158165,127.0704363,100m X 100m 격자,,,,3,시립남부어린이집,37.137992,127.07496,가드레일
13,명품학원 일대,37.16045695,127.0556882,100m X 100m 격자,,,,3,시립남부어린이집,37.136181,127.072719,주의표지
14,이보영의토킹클럽 오산원동점 일대,37.14157756,127.0693104,100m X 100m 격자,,,,3,시립남부어린이집,37.136181,127.072719,단속카메라
15,이보영의토킹클럽 오산시청점 일대,37.14971045,127.0748948,100m X 100m 격자,,,,3,시립남부어린이집,37.13889,127.073829,단속카메라
16,카포실용음악 일대,37.14971448,127.0760208,100m X 100m 격자,,,,3,시립남부어린이집,37.13889,127.073829,주의표지
17,리틀랜드어린이집 일대,37.14150647,127.0501691,100m X 100m 격자,,,,3,시립남부어린이집,37.13798,127.071583,규제표지
18,예닮어린이집 일대,37.1622555,127.0545514,100m X 100m 격자,,,,4,원동초등학교,37.134366,127.069351,가드레일
19,시립세교어린이집 일대,37.1766305,127.0420755,100m X 100m 격자,,,,4,원동초등학교,37.135268,127.069346,가드레일
20,대림어린화가어린이집 일대,37.13887337,127.0693257,100m X 100m 격자,,,,6,성산초등학교,37.149686,127.068138,가드레일
,,,,,,,,6,성산초등학교,37.148776,127.065891,가드레일
,,,,,,,,6,성산초등학교,37.149674,127.06476,가드레일
,,,,,,,,6,성산초등학교,37.149686,127.068138,규제표지
,,,,,,,,6,성산초등학교,37.148776,127.065891,단속카메라
,,,,,,,,6,성산초등학교,37.150587,127.068133,가드레일
,,,,,,,,6,성산초등학교,37.149674,127.06476,지시표지
,,,,,,,,6,성산초등학교,37.149678,127.065886,규제표지
,,,,,,,,7,운암초등학교,37.146105,127.074915,과속방지턱
,,,,,,,,7,운암초등학교,37.146109,127.076041,가드레일
,,,,,,,,7,운암초등학교,37.146109,127.076041,과속방지턱
,,,,,,,,8,세교복지타운어린이집,37.176644,127.045455,과속방지턱
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,단속카메라
,,,,,,,,8,세교복지타운어린이집,37.176644,127.045455,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,주의표지
,,,,,,,,8,세교복지타운어린이집,37.177549,127.046576,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,과속방지턱
,,,,,,,,9,동화마을유치원,37.156934,127.078233,가드레일
,,,,,,,,9,동화마을유치원,37.158736,127.078223,단속카메라
,,,,,,,,9,동화마을유치원,37.156934,127.078233,과속방지턱
,,,,,,,,9,동화마을유치원,37.15693,127.077107,가드레일
,,,,,,,,11,오산유치원,37.15239,127.068123,가드레일
,,,,,,,,12,문시초등학교,37.174836,127.044339,주의표지
,,,,,,,,12,문시초등학교,37.172137,127.045482,규제표지
,,,,,,,,14,청원어린이집,37.156012,127.072607,미끄럼포장도로
,,,,,,,,14,청원어린이집,37.151513,127.074885,가드레일
,,,,,,,,14,청원어린이집,37.156012,127.072607,가드레일
,,,,,,,,14,청원어린이집,37.156012,127.072607,단속카메라
,,,,,,,,14,청원어린이집,37.15332,127.076001,가드레일
,,,,,,,,15,운천초등학교,37.156032,127.078238,주의표지
,,,,,,,,15,운천초등학교,37.156032,127.078238,지시표지
,,,,,,,,15,운천초등학교,37.156032,127.078238,가드레일
,,,,,,,,16,시립오산어린이집,37.146101,127.073789,미끄럼포장도로
,,,,,,,,16,시립오산어린이집,37.146982,127.068154,가드레일
,,,,,,,,16,시립오산어린이집,37.148805,127.073774,단속카메라
,,,,,,,,16,시립오산어린이집,37.148805,127.073774,주의표지
,,,,,,,,17,시립비둘기어린이집,37.134379,127.072729,과속방지턱
,,,,,,,,18,하얀뜰어린이집,37.130761,127.069372,지시표지
,,,,,,,,19,대일어린이집,37.155094,127.068108,단속카메라
,,,,,,,,19,대일어린이집,37.155094,127.068108,지시표지
,,,,,,,,19,대일어린이집,37.154193,127.068113,가드레일
,,,,,,,,20,시립예일어린이집,37.135264,127.06822,과속방지턱
,,,,,,,,20,시립예일어린이집,37.134362,127.068225,과속방지턱
,,,,,,,,20,시립예일어린이집,37.136149,127.063712,가드레일
